Zip Code,Price,Status,Zestimate,Address,City,State,Bedrooms,Bathrooms,Size,Type,Year Built,Heating,Cooling,Parking,Lot Size,Price/sqft,URL
12302,"$299,000 ",For sale,"$294,561 ",1695 Amsterdam Rd,Glenville,NY,3 bd,3 ba,"1,990 sqft",Single Family,1937,Baseboard,Central,2 spaces,0.62 acres,$150 ,https://www.zillow.com/homedetails/1695-Amsterdam-Rd-Glenville-NY-12302/32487030_zpid/
12302,"$256,500 ",New construction,"$246,019 ",802 Grayson Pl,Schenectady,NY,3 bd,2 ba,"1,645 sqft",Condo,2020,Forced air,Central,1 space,$191/month,$156 ,https://www.zillow.com/homedetails/802-Grayson-Pl-Schenectady-NY-12302/201943300_zpid/
12302,"$254,400 ",New construction,"$244,002 ",803 Grayson Pl,Schenectady,NY,3 bd,2 ba,"1,645 sqft",Condo,2020,Forced air,Central,1 space,$179/month,$155 ,https://www.zillow.com/homedetails/803-Grayson-Pl-Schenectady-NY-12302/201943299_zpid/
12302,"$251,815 ",New construction,"$241,536 ",1102 Grayson Pl,Schenectady,NY,3 bd,2 ba,"1,645 sqft",Condo,2020,Forced air,Central,1 space,$179/month,$153 ,https://www.zillow.com/homedetails/1102-Grayson-Pl-Schenectady-NY-12302/201943287_zpid/
12302,"$243,700 ",For sale,"$240,475 ",112 Woodhaven Dr,Glenville,NY,3 bd,2 ba,"2,016 sqft",Single Family,1961,Other,Central,2 spaces,0.9 acres,$121 ,https://www.zillow.com/homedetails/112-Woodhaven-Dr-Glenville-NY-12302/32486690_zpid/
12302,"$219,900 ",For sale,"$216,747 ",3 Gould Dr,Glenville,NY,3 bd,2 ba,"1,500 sqft",Single Family,1945,Forced air,Central,1 space,"9,147 sqft",$147 ,https://www.zillow.com/homedetails/3-Gould-Dr-Glenville-NY-12302/32487795_zpid/
12302,"$89,000 ",Lot/land, ,Slatestone Dr,Scotia,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/Slatestone-Dr-Scotia-NY-12302/2081251684_zpid/
12302,"$170,000 ",For sale,"$166,291 ",Price cut: ,Glenville,NY,3 bd,2 ba,"1,587 sqft",Single Family,1901,Oil,No Data,3 spaces,No Data,$107 ,https://www.zillow.com/homedetails/322-Waters-Rd-Glenville-NY-12302/2081216064_zpid/
12302,"$249,900 ",New construction,"$239,768 ",1003 Grayson Pl,Schenectady,NY,3 bd,2 ba,"1,645 sqft",Condo,2020,Forced air,Central,1 space,No Data,$152 ,https://www.zillow.com/homedetails/1003-Grayson-Pl-Schenectady-NY-12302/201943294_zpid/
12302,"$249,900 ",New construction,"$239,768 ",1002 Grayson Pl,Schenectady,NY,3 bd,2 ba,"1,645 sqft",Condo,2020,Forced air,Central,1 space,No Data,$152 ,https://www.zillow.com/homedetails/1002-Grayson-Pl-Schenectady-NY-12302/201943295_zpid/
12302,"$99,900 ",Lot/land, ,St Anthony Ln,Schenectady,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/St-Anthony-Ln-Schenectady-NY-12302/246992581_zpid/
12302,"$94,500 ",Lot/land, ,6610 Amsterdam Rd,Schenectady,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/6610-Amsterdam-Rd-Schenectady-NY-12302/101977127_zpid/
12302,"$170,000 ",For sale,"$163,580 ",Price cut: ,Glenville,NY,2 bd,2 ba,"1,100 sqft",Condo,2012,Radiant,Central,1 space,$173/month,$155 ,https://www.zillow.com/homedetails/73-Saratoga-Rd-APT-8-Glenville-NY-12302/114414847_zpid/
12302,"$230,900 ",New construction,"$222,077 ",304 Grayson Pl,Schenectady,NY,2 bd,2 ba,"1,273 sqft",Condo,2019,Forced air,Central,1 space,$191/month,$181 ,https://www.zillow.com/homedetails/304-Grayson-Pl-Schenectady-NY-12302/246201235_zpid/
12302,"$249,900 ",New construction,"$239,842 ",303 Grayson Pl,Schenectady,NY,3 bd,2 ba,"1,645 sqft",Condo,2019,Forced air,Central,1 space,$191/month,$152 ,https://www.zillow.com/homedetails/303-Grayson-Pl-Schenectady-NY-12302/246201237_zpid/
12302,"$125,000 ",For sale,"$124,753 ",484 Saratoga Rd,Schenectady,NY,2 bd,1 ba,"1,092 sqft",Single Family,1925,Other,No Data,2 spaces,0.65 acres,$114 ,https://www.zillow.com/homedetails/484-Saratoga-Rd-Schenectady-NY-12302/32483885_zpid/
12302,"$45,000 ",Lot/land, ,87 Swaggertown Rd,Glenville,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/87-Swaggertown-Rd-Glenville-NY-12302/2082873596_zpid/
12302,"$42,000 ",Lot/land, ,00 Rector Rd,Glenville,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/00-Rector-Rd-Glenville-NY-12302/2095974115_zpid/
12302,"$210,000 ",Lot/land, ,Bolt Rd,Scota,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/Bolt-Rd-Scota-NY-12302/2082571939_zpid/
12302,"$297,900 ",For sale, ,1018 Tomahawk Trl,Glenville,NY,5 bd,4 ba,"3,048 sqft",Single Family,1958,Other,Central,2 spaces,None,0.39 acres,https://www.zillow.com/homedetails/1018-Tomahawk-Trl-Glenville-NY-12302/32487727_zpid/
12302,"$222,400 ",For sale,"$218,595 ",605 Saratoga Rd,Glenville,NY,3 bd,2 ba,"1,144 sqft",Single Family,1948,Radiant,Other,5 spaces,3.7 acres,$194 ,https://www.zillow.com/homedetails/605-Saratoga-Rd-Glenville-NY-12302/32484469_zpid/
12302,"$209,148 ",Foreclosed,"$209,148 ",62 Swaggertown Rd,Glenville,NY,4 bd,1 ba,"1,702 sqft",Single Family,1939,Other,No Data,1 space,0.41 acres,No Data,https://www.zillow.com/homedetails/62-Swaggertown-Rd-Glenville-NY-12302/32487865_zpid/
12302,"$29,900 ",Lot/land, ,81A Maple Ave,Schenectady,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/81A-Maple-Ave-Schenectady-NY-12302/2082198239_zpid/
12302,"$199,900 ",Lot/land, ,Sacandaga Rd,Glenville,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/Sacandaga-Rd-Glenville-NY-12302/201941228_zpid/
12302,"$249,900 ",New construction, ,Floor plan: Bayberry Yates Farms Condominiums,Glenville,NY,3 bd,2 ba,"1,645 sqft",Condo,2020,Forced air,Central,1 space,$191/month,$152 ,https://www.zillow.com/community/yates-farms-condominiums/2091756066_zpid/
12302,"$160,000 ",For sale,"$160,006 ",8 Tryon St,Glenville,NY,3 bd,1 ba,"1,476 sqft",Single Family,1960,Forced air,Central,Carport,0.34 acres,$108 ,https://www.zillow.com/homedetails/8-Tryon-St-Glenville-NY-12302/32484448_zpid/
12302,"$239,900 ",New construction, ,Buildable plan: Yates Farms Condominiums - New Yates Farms Condominiums,Glenville,NY,3 bd,2 ba,"1,645 sqft",Single Family,2020,No Data,No Data,1 space,$191/month,No Data,https://www.zillow.com/community/yates-farms-condominiums/2089021084_zpid/
12302,"$219,000 ",For sale,"$214,635 ",5 Droms Rd Ext,Glenville,NY,3 bd,2 ba,"1,514 sqft",,,,,,,,https://www.zillow.com/homedetails/5-Droms-Rd-Ext-Glenville-NY-12302/2082454442_zpid/
12302,"$215,000 ",For sale,"$209,905 ",2 Stephen Rd,Glenville,NY,3 bd,2 ba,"1,094 sqft",Single Family,1969,"Baseboard, Other",Central,1 space,0.32 acres,$197 ,https://www.zillow.com/homedetails/2-Stephen-Rd-Glenville-NY-12302/32484427_zpid/
12302,"$344,900 ",For sale,"$338,499 ",3 Ralmar Dr,Glenville,NY,4 bd,3 ba,"2,262 sqft",Single Family,1962,Other,No Data,3 spaces,2.2 acres,$152 ,https://www.zillow.com/homedetails/3-Ralmar-Dr-Glenville-NY-12302/32484771_zpid/
12302,"$230,900 ",New construction,"$226,796 ",Floor plan: Ashberry Yates Farms Condominiums,Glenville,NY,2 bd,2 ba,"1,273 sqft",Condo,2020,Forced air,Central,1 space,No Data,$181 ,https://www.zillow.com/community/yates-farms-condominiums/2091756067_zpid/
12302,"$234,900 ",For sale,"$229,530 ",962 Sacandaga Rd,Glenville,NY,3 bd,2 ba,"1,855 sqft",Single Family,2002,Forced air,None,No Data,2.1 acres,$127 ,https://www.zillow.com/homedetails/962-Sacandaga-Rd-Glenville-NY-12302/32482169_zpid/
12302,"$195,777 ",For sale,"$191,420 ",834 Sacandaga Rd,Glenville,NY,3 bd,1 ba,"1,664 sqft",Single Family,1942,Forced air,None,No Data,1.42 acres,$118 ,https://www.zillow.com/homedetails/834-Sacandaga-Rd-Glenville-NY-12302/32482224_zpid/
12302,"$349,900 ",For sale,"$343,535 ",7 Knollwood Dr,Glenville,NY,4 bd,4 ba,"2,440 sqft",Single Family,1981,"Baseboard, Other",Central,2 spaces,None,1.15 acres,https://www.zillow.com/homedetails/7-Knollwood-Dr-Glenville-NY-12302/32486577_zpid/
12302,"$264,900 ",For sale,"$261,688 ",117 Droms Rd,Glenville,NY,4 bd,2 ba,"1,725 sqft",Single Family,1974,Forced air,Central,1 space,0.46 acres,$154 ,https://www.zillow.com/homedetails/117-Droms-Rd-Glenville-NY-12302/32483420_zpid/
12302,"$279,000 ",New construction,"$277,831 ",000 Scotch Bush Rd,Glenville,NY,3 bd,2 ba,"1,700 sqft",Single Family,No Data,Gas,Central,2 spaces,None,0.9 acres,https://www.zillow.com/homedetails/000-Scotch-Bush-Rd-Glenville-NY-12302/2080869715_zpid/
12302,"$79,900 ",Lot/land, ,0 Ridge Rd,Schenectady,NY,No Data,No Data,No Data,,,,,,,,https://www.zillow.com/homedetails/0-Ridge-Rd-Schenectady-NY-12302/2094479535_zpid/
12302,,Foreclosed,Foreclosed,100 Saint Stephens Ln W,Glenville,NY,4 bd,3 ba,"1,983 sqft",Single Family,1958,Forced air,Central,2 spaces,0.51 acres,$65 ,https://www.zillow.com/homedetails/100-Saint-Stephens-Ln-W-Glenville-NY-12302/32485422_zpid/
12302,"$259,900 ",For sale,"$250,852 ",6217 Amsterdam Rd,Glenville,NY,3 bd,2 ba,"2,388 sqft",Single Family,1799,Other,No Data,3 spaces,3.78 acres,$109 ,https://www.zillow.com/homedetails/6217-Amsterdam-Rd-Glenville-NY-12302/32482718_zpid/
12302,"$599,900 ",For sale, ,1205 Gideon Trce,Schenectady,NY,4 bd,4 ba,"2,906 sqft",Single Family,2013,Radiant,Central,3 spaces,$27/month,0.68 acres,https://www.zillow.com/homedetails/1205-Gideon-Trce-Schenectady-NY-12302/143909232_zpid/
12302,"$194,500 ",For sale,"$194,529 ",11 Van Buren Rd,Glenville,NY,3 bd,1 ba,"1,383 sqft",Single Family,1930,Radiant,No Data,2 spaces,"9,901 sqft",$141 ,https://www.zillow.com/homedetails/11-Van-Buren-Rd-Glenville-NY-12302/32485967_zpid/
